Name,Length,EffectiveLength,TPM,NumReads,MGI symbol,Gene name
ENSMUSG00000056457,853,333.22,31675.612,241939.59,Prl2c3,Prl2c3
ENSMUSG00000044258,779,468.42,19056.144,204605.52,Ctla2a,Ctla2a
ENSMUSG00000057170,871,459.16,14741.558,155151.92,Prl3d1,Prl3d1
ENSMUSG00000018259,938,305.09,13729.758,96015,Prl8a2,Prl8a2
ENSMUSG00000006488,958,254.36,12319.553,71827,Prl7a1,Prl7a1
ENSMUSG00000052305,622,546.8,10460.654,131109.77,Hbb-bs,Hbb-bs
ENSMUSG00000093674,501,423.59,9131.658,88662.19,Rpl41,Rpl41
ENSMUSG00000001025,479,380,8916.711,77666,S100a6,S100a6
ENSMUSG00000037742,1536,1341.97,8454.966,260077.18,Eef1a1,Eef1a1
ENSMUSG00000079092,839,316.19,8052.673,58361.95,Prl2c2,Prl2c2
ENSMUSG00000074129,582,500.32,6820.915,78224.06,Rpl13a,Rpl13a
ENSMUSG00000079523,570,491.57,6683.379,75305.52,Tmsb10,Tmsb10
ENSMUSG00000049775,767,475.45,6453.029,70326,Tmsb4x,Tmsb4x
ENSMUSG00000050708,964,984.02,5964.868,134540.39,Ftl1,Ftl1
ENSMUSG00000026385,545,384.07,5678.678,49992,Dbi,Dbi
ENSMUSG00000025290,656,403.3,5489.946,50751.33,Rps24,Rps24
ENSMUSG00000047675,563,401.1,5414.539,49781.24,Rps8,Rps8
ENSMUSG00000029322,742,516.92,5407.156,64068,Plac8,Plac8
ENSMUSG00000015441,919,804.72,5312.543,97993.2,Gzmf,Gzmf
ENSMUSG00000102070,681,172.13,5281.973,20840.37,Gm28661,Gm28661
ENSMUSG00000055360,843,294.48,5070.969,34228.92,Prl2c5,Prl2c5
ENSMUSG00000059256,964,880.59,4979.273,100504.98,Gzmd,Gzmd
ENSMUSG00000018339,1594,1627.94,4806.154,179343,Gpx3,Gpx3
ENSMUSG00000008668,556,501.02,4737.38,54405.78,Rps18,Rps18
ENSMUSG00000067038,494,382.67,4693.076,41165.04,Rps12-ps3,Rps12-ps3
ENSMUSG00000060126,910,424.46,4597.286,44728.42,Tpt1,Tpt1
ENSMUSG00000038891,877,610.58,4506.358,63069,Prl3b1,Prl3b1
ENSMUSG00000040284,909,852.39,4450.837,86962.05,Gzmg,Gzmg
ENSMUSG00000057841,521,416.91,4225.733,40382.63,Rpl32,Rpl32
ENSMUSG00000069682,635,537.88,4169.463,51406.04,Gm10275,Gm10275
ENSMUSG00000027082,1549,805.54,4018.916,74207,Tfpi,Tfpi
ENSMUSG00000009927,561,375.24,4011.997,34508.04,Rps25,Rps25
ENSMUSG00000064351,1545,526.13,4010.878,48370.36,mt-Co1,mt-Co1
