Name,Length,EffectiveLength,TPM,NumReads,MGI symbol,Gene name
ENSMUSG00000038891,878,782.37,51323.758,865181,Prl3b1,Prl3b1
ENSMUSG00000062705,856,674.2,37809.998,549251.63,Tpbpb,Tpbpb
ENSMUSG00000033834,1361,851.86,32769.53,601470.37,Tpbpa,Tpbpa
ENSMUSG00000052305,620,497.88,32526.837,348936.91,Hbb-bs,Hbb-bs
ENSMUSG00000006490,942,695.9,27419.972,411141,Prl8a9,Prl8a9
ENSMUSG00000069258,870,665.24,22405.433,321151,Prl2b1,Prl2b1
ENSMUSG00000055298,1375,1241.16,21970.368,587548,Ctsj,Ctsj
ENSMUSG00000021439,1361,1162.59,19703.731,493573,Ctsq,Ctsq
ENSMUSG00000030368,1054,947.54,18753.912,382881,Ceacam11,Ceacam11
ENSMUSG00000066760,1573,1510.36,18278.573,594837.55,Psg16,Psg16
ENSMUSG00000021345,869,603.32,15142.068,196839,Prl8a6,Prl8a6
ENSMUSG00000069917,554,417.03,13053.219,117289.5,Hba-a2,Hba-a2
ENSMUSG00000030366,1062,928.31,12148.23,242987,Ceacam12,Ceacam12
ENSMUSG00000040713,949,798.8,11792.04,202956,Creg1,Creg1
ENSMUSG00000074359,2179,2191.78,11012.216,520053.99,Psg23,Psg23
ENSMUSG00000070796,2061,1995.81,10912.691,469275.69,Psg21,Psg21
ENSMUSG00000023185,1109,990.12,8765.255,186994,Ceacam14,Ceacam14
ENSMUSG00000021346,977,668.89,6553.494,94451,Prl8a8,Prl8a8
ENSMUSG00000069919,673,546.09,5962.964,70162.5,Hba-a1,Hba-a1
ENSMUSG00000021441,1356,1184.81,5595.31,142840,Cts6,Cts6
ENSMUSG00000046899,1277,598.63,5560.852,71726,Prl7a2,Prl7a2
ENSMUSG00000073940,703,590.03,5147.053,65435.09,Hbb-bt,Hbb-bt
ENSMUSG00000074870,1335,1184.13,4974.26,126912.43,Cts3,Cts3
ENSMUSG00000037742,1587,1488.31,4530.431,145281.44,Eef1a1,Eef1a1
ENSMUSG00000079523,569,432.49,3490.167,32523.55,Tmsb10,Tmsb10
ENSMUSG00000070797,1942,1919.26,3480.611,143934.58,Psg27,Psg27
ENSMUSG00000064351,1545,1271.34,3333.906,91325.31,mt-Co1,mt-Co1
ENSMUSG00000030373,1949,1890.96,3247.816,132327.41,Psg28,Psg28
